Handle,Variant SKU,Title,description
77543,77543,Кабель живлення KWS-910 USB DC 5.5x2.5 для роутера модему 9v та 12v від Powerbank повербанка 77543,"Кабель питания KWS-910 USB DC 5.5x2.5 для роутера модема 9v и 12v от Powerbank повербанка

USB DC 5.5x2.5 кабель предназначен для подключения роутера или модема от повербанка powerbank.

В комплекте переходник на 3,5x1,35мм

Данный кабель с выходом DC со штекером диаметром 5,5 миллиметра наружный диаметр и 2,5 миллиметра внутренний диаметр гнезда

Характеристики:


	Тип: USB-A 2.0 — DC 5.5x2.5
	На выходе DC ток напряжение такой который подается на USB 9v и 12v.
	Входное напряжение: 5 В
	Выходное напряжение: 9 В/12 В
	Максимум. Выходной ток: 9 В 2 А, 12 В 1,5 А
	Свойства интерфейса: USB преобразуется в круглое отверстие постоянного тока
	Длина кабеля: прибл. 1 м
	Предназначен для питания роутер, модема.
	Внешняя оболочка: ПВХ
	Никелированные разъемы и контакты


Комплектация:


	Кабель адаптер USB - DC 5.5x2.5
	Переходник 5.5x2.5 на 3,5*1,35

"
77534,77534,Кабель живлення USB DC 5.5x2.1 для роутера модему 5v від Powerbank повербанка gpon onu термінал 77534,"Кабель питания USB DC 5.5x2.1 для роутера модема 5v от Powerbank повербанка

Нужно отправить сегодня? для быстрой обработки и упаковки, позвоните нам сейчас, сразу после заказа. Ваш звонок поставит заказ без очереди, упаковаем и отправим сегодня.

Доступные разъемы:


	5,5*2,1
	5,5*2,5
	5,5*2,1-3,5*1,35 переходник отдельно можна докупить




Если роутер работает на 9 вольт или 12 вольт, требуется другое устройство, не кабель, а повышающее напряжение с 5 вольт до 9 или 12 вольт - подключения роутера, модема оптического терминал gpon, ONU терминал (pon модем) для оптических пон сети, онушки, светлодиодной лент от повербанка powerbank.

USB DC 5.5x2.1 кабель предназначен для подключения роутера или модема от повербанка powerbank. Для разных модемов и роутеров нужны разные напряжения: 5v, 9v, 12v. Данный кабель видает напряжени только то что дает повербанк. Если повербанк дает 5 вольт на виходить тоже только 5 вольт.  Сила тока до 2 ампер.

Данный кабель с выходом DC со штекером диаметром 5,5 миллиметра наружный диаметр и 2,1 миллиметра внутренний диаметр гнезда, выдает напряжение такое же как подается на USB разъем кабеля.


	Тип: USB-A 2.0 — DC 5.5x2.1
	На выходе DC ток напряжение такой который подается на USB 5v.
	Предназначен для питания роутер, модема.
	Внешняя оболочка: ПВХ
	Никелированные разъемы и контакты


Комплектация:


	Кабель USB - DC 5.5x2.1

"
77098,77098,"Кабель живлення USB DC 5.5x2.5 1,5A для роутера 5v від Powerbank 77098","Кабель питания USB DC 5.5x2.5 1,5A для роутера модема 5v от Powerbank повербанка

Нужно отправить сегодня? для быстрой обработки и упаковки, позвоните нам сейчас, сразу после заказа. Ваш звонок поставит заказ без очереди, упаковаем и отправим сегодня.

Если роутер работает на 9 вольт или 12 вольт, требуется другое устройство, не кабель, а повышающее напряжение с 5 вольт до 9 или 12 вольт. - подключения роутера, модема оптического терминал gpon, ONU терминал (pon модем) для оптических пон сети, онушки, светлодиодной лент от повербанка powerbank.

USB DC 5.5x2.5 кабель предназначен для подключения роутера или модема от повербанка powerbank.

Данный кабель с выходом DC со штекером диаметром 5,5 мм наружный диаметр и 2,5 мм внутренний диаметр гнезда, выдает напряжение такое же как подается на USB разъем кабеля.

Данный кабель не повысит и не понижает напряжение.



Характеристики:


	Тип: USB-A 2.0 — DC 5.5x2.5
	Сила тока: 1,5 А
	На выходе DC ток напряжение такой который подается на USB 5v.
	Предназначен для питания роутер, модема.
	Внешняя оболочка: ПВХ
	Никелированные разъемы и контакты


Комплектация:


	Кабель USB - DC 5.5x2.5

"
77545,77545,Кабель живлення USB DC 5.5x2.5 для роутера модему 5v від Powerbank повербанка 77545,"Кабель питания USB DC 5.5x2.5 для роутера модема 5v от Powerbank повербанка

Нужно отправить сегодня? для быстрой обработки и упаковки, позвоните нам сейчас, сразу после заказа. Ваш звонок поставит заказ без очереди, упаковаем и отправим сегодня.

Если роутер работает на 9 вольт или 12 вольт, требуется другое устройство, не кабель, а повышающее напряжение с 5 вольт до 9 или 12 вольт. - подключения роутера, модема оптического терминал gpon, ONU терминал (pon модем) для оптических пон сети, онушки, светлодиодной лент от повербанка powerbank.

USB DC 5.5x2.5 кабель предназначен для подключения роутера или модема от повербанка powerbank.

Данный кабель с выходом DC со штекером диаметром 5,5 мм наружный диаметр и 2,5 мм внутренний диаметр гнезда, выдает напряжение такое же как подается на USB разъем кабеля.

Данный кабель не повысит и не понижает напряжение.



Характеристики:


	Тип: USB-A 2.0 — DC 5.5x2.5
	Сила тока: до 0,5 А
	На выходе DC ток напряжение такой который подается на USB 5v.
	Предназначен для питания роутер, модема.
	Внешняя оболочка: ПВХ
	Никелированные разъемы и контакты


Комплектация:


	Кабель USB - DC 5.5x2.5

"
77536,77536,Кабель живлення USB DC 5.5x2.5 для роутера модему 9v або 12v від Powerbank повербанка 77536,"Кабель питания USB DC 5.5x2.5 для роутера модема 9v до 1,5А или 12v до 1А от Powerbank повербанка

Пожалуйста, не делайте заказы если не проверили работает ли роутер от 5, 9, 12 вольт. (на нижней части роутера есть белая этикетка, указано 5V, 9V, 12V)

ВНИМАНИЕ. Преобразователь для роутеров на 9 или 12 вольт. Посмотрите сколько вольт у Вашего роутера. Повербанк должен иметь 5V 3A если у роутера 9V или 12V 1A и выше.

USB DC 5.5x2.5 кабель предназначен для подключения роутера или модема от повербанка powerbank. Для разных модемов и роутеров нужны разные напряжения: 5v, 9v, 12v.

Данный кабель с выходом DC со штекером диаметром 5,5 миллиметра наружный диаметр и 2,5 миллиметра внутренний диаметр гнезда, выдает напряжение такое же как подается на USB разъем кабеля.

Характеристики:


	Тип: USB-A 2.0 — DC 5.5x2.5
	На выходе DC ток напряжение такой который подается на USB 9v до 1,5A или 12v до 1А.
	Предназначен для питания роутер, модема.
	Внешняя оболочка: ПВХ
	Никелированные разъемы и контакты


Комплектация:


	Кабель USB - DC 5.5x2.5

"
77148,77148,Кабель живлення для роутера DC5-DC9V USB-5.5 1A від Powerbank 77148,"Кабель питания роутера с преобразователем DC5-DC9V USB-5.5 1А преобразователь повышающий для модема от Powerba

Нужно отправить сегодня? Для быстрой обработки и упаковки, позвоните нам сейчас, сразу после заказа. Ваш звонок поставит заказ без очереди, упаковаем и отправим сегодня.

Качественный повышающий кабель переходник с 5 В до 9 В для питания Wi-Fi роутера от внешнего аккумулятора, зарядной станции и т.д. Применяется для бесперебойной работы интернета при отсутствии света.

Также позволит питать от Power Bank практически любые устройства (роутеры, модемы, видеокамеры, антенны Т2, системы сигнализации и т.д.), работающие от 9 В и потребляющие не более 1.1 А.

USB DC 5.5x2.5 кабель предназначен для подключения роутера, модема оптического терминал gpon, ONU терминал (pon модем) для оптических пон сети, онушки, светлодиодной лент от повербанка powerbank.

Характеристики:


	Интерфейсы: USB Type-A (для источника питания), 5.5 х 2.5 мм
	Входное напряжение: 5 В
	Выходное напряжение: 9 В
	Максимальная сила тока (вход): 2 А
	Максимальная сила тока (выход): 1100 мА
	Длина: 1 м
	Предназначен для питания роутер, модема.


Комплектация:


	Кабель адаптер USB - DC 9V 5,5x2,5

"
77147,77147,Кабель перехідник USB to DC 5.5X2.5мм 5-12V для живлення роутера модема перетворювач від Powerbank повербанка 77147,"Кабель переходник USB to DC 5.5X2.5ММ 5-12V для питания роутера модема преобразователь от Powerbank повербанка

Нужно отправить сегодня? Для быстрой обработки и упаковки, позвоните нам сейчас, сразу после заказа. Ваш звонок поставит заказ без очереди, упаковаем и отправим сегодня.

Качественный повышающий кабель переходник с 5 В до 12 В для питания Wi-Fi роутера от внешнего аккумулятора, зарядной станции и т.д. Применяется для бесперебойной работы интернета при отсутствии света.

Также позволит питать от Power Bank практически любые устройства (роутеры, модемы, видеокамеры, антенны Т2, системы сигнализации и т.д.), работающие от 12 В и потребляющие не более 0.85 А.

USB DC 5.5x2.5 кабель предназначен для подключения роутера, модема оптического терминал gpon, ONU терминал (pon модем) для оптических пон сети, онушки, светлодиодной лент от повербанка powerbank.

Характеристики:


	Интерфейсы: USB Type-A (для источника питания), 5.5 х 2.5 мм
	Входное напряжение: 5 В
	Выходное напряжение: 12 В
	Максимальная сила тока (вход): 2 А
	Максимальная сила тока (выход): 850 мА
	Длина: 1 м
	Предназначен для питания роутер, модема.


Комплектация:


	Кабель адаптер USB - DC 12V 5,5x2,5

"
77280,77280,Конвертер HDMI to VGA HDMI2VGA 77280,"Конвертер видеосигнала HDMI2VGA + аудио + питание sony playstation 4, 3, T2 Т2 тюнер DVB-T2

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Каждый преобразователь мы лично подключаем к монитору с vga разъемом и видим что он рабочий, Вам гарантируем что бракованный НЕ БУДЕТ

Адаптер для преобразования HDMI сигнала в VGA. Позволит подключить монитор, телевизор или проектор с аналоговым VGA выходом к HDMI устройству.

Конвертер HDMI - VGA  может быть использован в ноутбуках, STB, DVD и других устройствах HD. Он преобразует цифровой видео HDMI в аналоговый интерфейс VGA. Этот конвертер действительно решает проблему конфликта между цифровыми и аналоговыми сигналами, при этом вы не меняете устройство и по-прежнему пользуетесь HD оборудованием. Не требует питания (питается от HDMI), не требует никаких дополнительных настроек и т.д. Просто включи и работай.

Подходит так же для Т2 тюнеров, спутниковых ресиверов

Качество: высокое.



Цвет: белый.



Разъемы:




	Вход HDMI: HDMI Входной интерфейс
	Вход: USB выходной интерфейс
	Выход VGA: VGA выходной интерфейс
	Выход 3.5 мм. джек


 Характеристики:



	HDMI(мама) и VGA RGB(мама).
	Питание от USB
	Поддерживает полный разрешение 720 P или 1080 P
	Подходит для hdmi-устройств (например, ПК, DVD, PS3,PS4, Xbox360, и др.) и VGA-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК или планшета к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина: 18см
	Передает сигнал в сторону от HDMI - VGA. Работает только в одну сторону.


Комплектность:


	адаптер HDMI - VGA
	мануал
	полупрозрачаня упаковка
	кабель питания



"
77438,77438,Конвертер USB 3.1 Type-C to HDMI VGA адаптер переходник для chromebook 77438,"Адаптер USB 3.1 Type-C to HDMI VGA  конвертер преобразователь переходник для chromebook

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Переходник USB 3.1 Type-C to HDMI VGA   используется для передачи видео в высоком разрешении (2Кх4К) с Android смартфонов или планшетов; персональных компьютеров или ноутбуков на экран телевизора; монитора или проектора.

Адаптер  совместим с ноутбуками Dell XPS 13""; Google Chromebook Pixel; iMac (2017); MacBook Pro (2016); и более современными моделями.

Последние поколения смартфонов и планшетов при подключении адаптера  USB 3.1 Type-C to HDMI могут так же предлагать в вариантах отображения не только вывод текущей картинки; но и вариант подключения отдельного рабочего стола; превращая при этом гаджет в полноценный мощный медиаплеер.

Адаптер USB3.1-HDMI имеет прочный алюминиевый корпус и надежный кабель; устойчивый к повреждениям.

Цвет:  серебристый.



Разъемы:


	Входной порт USB 3.1 Type-C.
	Размеры интерфейса USB 3.1 Type-C 8;28*2;4мм.
	24-контактный USB 3.1 Type-C.
	Выходные порты HDMI(4KX2K);
	Выходные порты USB Type-C; USB 3.0.


 Характеристики:


	Скорость передачи до 10Гбит/с.
	Компактный; портативный; удобный.


Комплектность:


	адаптер Type-C на HDMI VGA
	упаковка

"
77572,77572,Конвертер USB 3.1 Type-C to HDMI VGA адаптер-перехідник,"Конвертер USB 3.1 Type-C to HDMI VGA USB3.0 адаптер переходник

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Переходник USB 3.1 Type-C - HDMI, VGA  используется для передачи видео в высоком разрешении (2Кх4К) с Android смартфонов или планшетов; персональных компьютеров или ноутбуков на экран телевизора; монитора или проектора.

При этом переходник Type-C - HDMI, VGA поддерживает функцию одновременного подключение питания для заряда устройства через вход Type-C; и подключение накопителя либо манипулятора к разъему USB3.0.

Адаптер  совместим с ноутбуками Dell XPS 13""; Google Chromebook Pixel; iMac (2017); MacBook Pro (2016); и более современными моделями.

Последние поколения смартфонов и планшетов при подключении адаптера  USB 3.1 Type-C to HDMI, VGA могут так же предлагать в вариантах отображения не только вывод текущей картинки; но и вариант подключения отдельного рабочего стола; превращая при этом гаджет в полноценный мощный медиаплеер.

Адаптер USB3.1-HDMI имеет прочный алюминиевый корпус и надежный кабель; устойчивый к повреждениям.

Цвет:  серебристый.

Разъемы:


	Входной порт USB 3.1 Type-C.
	Входной порт USB 3.0 Type-A.
	Выходной порт HDMI(4KX2K);
	Выходной порт VGA;
	Выходные порты USB Type-C; USB 3.0.
	Размеры интерфейса USB 3.1 Type-C 8;28*2;4мм.
	24-контактный USB 3.1 Type-C.


 Характеристики:


	Скорость передачи до 10Гбит/с.
	Компактный; портативный; удобный.


Комплектность:


	адаптер Type-C на HDMI
	упаковка

"
